"Open Houses","Photo","MLS","AR","S","Address","City","BR","Baths(FTHQ)","SqFt","Lot Sz","YB","LP","SP","Lease Terms","Furnished","DOM"
"","15","25523937","12","LD","27   Eastwind St #6","Marina Del Rey","0","1.00 (1 0 0 0)","225","2,893","1921","$1,695","$1,695","12 Months","Unfurnished","95"
"","14","25539951","12","LD","122   Buccaneer St #2","Marina Del Rey","0","1.00 (1 0 0 0)","500","2,698","1972","$1,850","$1,850","1+Year,12 Months,24 Months","Unfurnished","10"
"","15","24-349953","12","LD","122   Buccaneer St #2","Marina Del Rey","0","1.00 (1 0 0 0)","500","2,698","1972","$1,900","$1,850","1+Year","Unfurnished","145"
"","11","SB25099404MR","12","LD","3112   Washington BLVD ","MARINA DEL REY","1","1.00 (1 0 0 0)","430","3,430","1950","$2,000","$2,000","1-Year","Unfurnished","28"
"","7","25522073","12","LD","24   Lighthouse  #c","Marina Del Rey","0","1.00 (0 1 0 0)","400","4,500","","$2,300","$2,300","1+Year","Unfurnished","55"
"","19","24-434003","12","LD","4247  S Centinela Ave #1/2","Los Angeles","1","1.00 (1 0 0 0)","540","5,002","1952","$2,300","$2,300","1+Year","Unfurnished","28"
"","30","25541335","12","LD","5411  S Centinela Ave #4","Los Angeles","2","2.00 (2 0 0 0)","850","4,957","1959","$2,395","$2,395","1+Year","Unfurnished","59"
"","55","25-488873","12","LD","4316   Marina City Dr #202G","Marina Del Rey","0","1.00 (1 0 0 0)","","422","","$2,400","$2,300","1+Year","Both","14"
"","35","24-448445","12","LD","4316   Marina City DR #204G","MARINA DEL REY","0","1.00 (1 0 0 0)","470","470","1972","$2,400","$2,400","1+Year","Unfurnished","36"
"","34","25-477321","12","LD","4316   Marina City DR #105G","MARINA DEL REY","0","1.00 (1 0 0 0)","470","470","1972","$2,400","$2,400","1+Year","Unfurnished","26"
"","21","25547709","12","LD","732   Washington Blvd ","Marina Del Rey","1","1.00 (0 1 0 0)","500","2,500","1955","$2,450","$2,450","1+Year,1-Year,6 Months","Unfurnished","62"
"","16","25-482915","12","LD","12419   Walsh Ave ","Los Angeles","1","1.00 (1 0 0 0)","600","5,050","1954","$2,495","$2,495","1+Year","Unfurnished","37"
"","13","24-378949","12","LD","20   Eastwind ST #1","VENICE","0","1.00 (1 0 0 0)","","3,151","1965","$2,500","$2,500","1+Year","Unfurnished","74"
"","17","25509537","12","LD","21   Topsail St #1","Marina Del Rey","0","1.00 (1 0 0 0)","","3,090","1965","$2,544","$2,775","1+Year","Unfurnished","19"
"","2","25550383","12","LD","3100   YALE AVE ","VENICE","0","1.00 (1 0 0 0)","","4,017","1928","$2,595","$2,595","1+Year","Unfurnished","25"
"","11","PW24199639MR","12","LD","11935  W Louise AVE ","LOS ANGELES","1","1.00 (1 0 0 0)","550","1,235","2022","$2,600","$2,600","","Unfurnished","7"
"","18","24-391855","12","LD","12028   Culver Blvd #1/2","Los Angeles","1","1.00 (1 0 0 0)","600","500","1953","$2,600","$2,600","1+Year","Unfurnished","28"
"","28","25538304","12","LD","4060   Glencoe Ave #125","Marina Del Rey","1","1.00 (1 0 0 0)","715","59,478","2004","$2,750","$2,750","1+Year,1-Year,12 Months","Unfurnished","27"
"","20","24-436821","12","LD","12326   Greene Ave #1/2","Los Angeles","1","1.00 (1 0 0 0)","801","6,562","1950","$2,800","$2,600","1+Year","Unfurnished","20"
"","17","24-460557","12","LD","117   Galleon St #C","Marina Del Rey","0","1.00 (1 0 0 0)","500","2,705","1988","$2,850","$2,850","Negotiable,Season,Short Term Lease,6 Months,Other,1+Year,1-Year","Furnished","43"
"","14","25533289","12","LD","12512   RUBENS AVE ","LOS ANGELES","1","1.00 (1 0 0 0)","","5,000","2022","$2,850","$2,850","1+Year","Unfurnished","54"
"","11","24-452827","12","LD","4333   Westlawn Ave #REAR","Los Angeles","1","1.00 (1 0 0 0)","790","6,647","2017","$2,980","$2,980","1-Year","Unfurnished","46"
"","16","25-478369","12","LD","5000  S Centinela Ave #129","Los Angeles","2","2.00 (2 0 0 0)","1,076","142,828","1970","$2,995","$2,995","1+Year","Unfurnished","161"
"","18","25-480569","12","LD","4227  S Centinela Ave ","Los Angeles","1","1.00 (1 0 0 0)","477","2,500","1952","$3,000","$2,800","None","Unfurnished","46"
"","18","24-402623","12","LD","4227  S Centinela Ave ","Los Angeles","1","1.00 (1 0 0 0)","477","2,500","1952","$3,000","$3,000","None","Unfurnished","7"
"","19","25505795","12","LD","23 1/2  Buccaneer St ","Marina Del Rey","1","1.00 (1 0 0 0)","450","3,081","1978","$3,000","$3,000","1+Year","Unfurnished","59"
"","14","25498995","12","LD","5113   Ocean Front Walk #3","Marina Del Rey","0","1.00 (1 0 0 0)","400","5,039","1992","$3,000","$3,000","1+Year","Unfurnished","9"
"","22","25511513","12","LD","21   Jib St #5","Marina Del Rey","2","1.00 (1 0 0 0)","","3,606","1906","$3,025","$3,025","1+Year","Unfurnished","78"
"","23","24-473559","12","LD","120   Fleet St #C","Marina Del Rey","0","1.00 (1 0 0 0)","","2,706","1998","$3,025","$3,000","1+Year","Furnished","34"
"","15","25531719","12","LD","115   Galleon St #C","Marina Del Rey","0","1.00 (1 0 0 0)","540","2,706","1988","$3,050","$3,050","1+Year","Furnished","24"
"","2","25496153","12","LD","11734   Avon Way #105","Los Angeles","2","2.00 (2 0 0 0)","900","6,702","1988","$3,095","$3,095","1-Year","Unfurnished","77"
"","29","24-452187","12","LD","4060   GLENCOE AVE #325","MARINA DEL REY","1","1.00 (1 0 0 0)","715","59,341","2004","$3,100","$3,100","1+Year,1-Year","Unfurnished","80"
"","23","24-419725","12","LD","4055  S REDWOOD AVE #215","MARINA DEL REY","1","1.00 (1 0 0 0)","915","70,343","2006","$3,115","$3,115","1+Year","Unfurnished","0"
"","24","24-352593","12","LD","4044   Redwood Ave #302","Los Angeles","1","1.00 (1 0 0 0)","652","13,379","2015","$3,158","$3,445","1+Year","Unfurnished","151"
"","9","24-363115","12","LD","750   Washington Blvd #B","Venice","1","1.00 (1 0 0 0)","570","2,500","1953","$3,250","$3,450","Negotiable","Furnished","84"
"","24","24-425007","12","LD","4044   Redwood Ave #402","Los Angeles","1","1.00 (1 0 0 0)","652","13,379","2015","$3,275","$3,275","1+Year","Unfurnished","31"
"","16","24-469917","12","LD","14   Jib St #5","Marina Del Rey","1","1.00 (1 0 0 0)","900","3,151","1972","$3,300","$3,300","1+Year","Unfurnished","19"
"","25","23-341710","12","LD","5000  S Centinela Ave #126","Los Angeles","2","2.00 (2 0 0 0)","1,076","142,789","1970","$3,300","$3,200","1+Year","Unfurnished","99"
"","1","25564151","12","LD","4050   Glencoe Ave #423","Marina Del Rey","1","2.00 (1 0 1 0)","890","59,240","2007","$3,300","$3,300","1+Year","Unfurnished","7"
"","24","24-436810","12","LD","12328   Greene Ave ","Los Angeles","2","1.00 (1 0 0 0)","832","6,562","1950","$3,350","$3,350","1+Year","Unfurnished","20"
"","21","25-482265","12","LD","4050   Glencoe Ave #309","Marina Del Rey","1","2.00 (1 0 1 0)","890","59,240","2007","$3,400","$3,400","1+Year","Unfurnished","14"
"","17","24-365221","12","LD","27   Anchorage St ","Marina Del Rey","1","1.00 (1 0 0 0)","","7,253","","$3,495","$3,495","1-Year","Unfurnished","34"
"","26","24-414533","12","LD","4215   Glencoe Ave #206","Marina Del Rey","1","1.00 (1 0 0 0)","965","79,638","2008","$3,500","$3,300","1+Year","Unfurnished","21"
"","1","25-486009","12","LD","4140   Glencoe Ave #315","Marina Del Rey","1","1.00 (1 0 0 0)","760","39,485","2016","$3,600","$3,600","1+Year","Unfurnished","37"
"","21","24-472785","12","LD","4350   Berryman Ave #10","Los Angeles","2","2.00 (2 0 0 0)","905","14,504","1976","$3,649","$3,649","1+Year","Unfurnished","29"
"","1","25542725","12","LD","4365   Mclaughlin Ave #28","Los Angeles","2","2.00 (2 0 0 0)","1,380","54,064","1980","$3,650","$3,650","1+Year","Unfurnished","122"
"","40","24-448179","12","LD","13700   MARINA POINTE DR #427","MARINA DEL REY","1","1.00 (1 0 0 0)","854","124,670","2003","$3,695","$3,695","1+Year","Unfurnished","13"
"","23","24-385169","12","LD","3933   Esplanade  #1","Marina Del Rey","1","1.00 (1 0 0 0)","900","4,036","1967","$3,700","$3,700","1+Year","Unfurnished","39"
"","29","25-477695","12","LD","4265   Marina City DR #707","MARINA DEL REY","1","1.00 (1 0 0 0)","935","935","1972","$3,750","$3,750","1+Year","Unfurnished","72"
"","28","SR24210342MR","12","LD","110   Driftwood  #2","MARINA DEL REY","1","1.00 (1 0 0 0)","600","2,836","1953","$3,775","$3,775","","Unfurnished","22"
"","16","25546977","12","LD","12492   Gilmore Ave #4","Los Angeles","3","2.00 (2 0 0 0)","1,350","4,800","1963","$3,795","$3,850","1-Year,1+Year,Negotiable","Unfurnished","57"
"","54","24-460547","12","LD","13700   Marina Pointe Dr #422","Marina Del Rey","1","1.00 (1 0 0 0)","859","124,662","2003","$3,795","$3,795","1+Year","Unfurnished","27"
"","76","24-466847","12","LD","4337   Marina City Dr #643","Marina Del Rey","1","1.00 (0 1 0 0)","","1,050","","$3,800","$3,750","1+Year","Unfurnished","64"
"","15","24-454289","12","LD","4060   Glencoe Ave #312","Marina Del Rey","2","2.00 (2 0 0 0)","1,000","59,478","2004","$3,800","$3,800","1+Year","Unfurnished","145"
"","40","24-421849","12","LD","4115   Glencoe Ave #311","Marina Del Rey","1","2.00 (2 0 0 0)","1,280","39,570","2006","$3,800","$3,800","1+Year,1-Year","Unfurnished","7"
"","39","24-428307","12","LD","4316   Marina City DR #721","MARINA DEL REY","1","1.00 (0 1 0 0)","935","935","1972","$3,800","$3,800","1+Year","Unfurnished","6"
"","39","25512485","12","LD","4337   Marina City DR #647","MARINA DEL REY","1","1.00 (0 1 0 0)","935","935","1972","$3,800","$3,800","1+Year","Unfurnished","31"
"","40","24-468241","12","LD","13700   Marina Pointe Dr #807","Marina Del Rey","1","1.00 (1 0 0 0)","996","124,611","2003","$3,850","$3,750","1+Year","Unfurnished","24"
"","22","25493723","12","LD","4322   Berryman Ave #8","Los Angeles","3","2.00 (2 0 0 0)","1,800","10,445","1951","$3,865","$3,865","24 Months,Negotiable","Unfurnished","24"
"","1","24-394671","12","LD","13337   Beach Ave #107","Marina Del Rey","2","2.00 (2 0 0 0)","1,095","13,761","2013","$3,900","$3,900","1+Year","Unfurnished","54"
"","26","24-346846","12","LD","4044   Redwood Ave #301","Los Angeles","2","2.00 (2 0 0 0)","888","12,679","2015","$3,925","$4,095","1+Year","Unfurnished","100"
"","38","24-426149","12","LD","306   Bora Bora Way #212","Marina Del Rey","1","2.00 (2 0 0 0)","","100,437","1978","$3,950","$3,950","Other,Negotiable,6 Months,Short Term Lease","Furnished","27"
"","23","25549293","12","LD","13700   MARINA POINTE DR #614","MARINA DEL REY","1","1.00 (1 0 0 0)","946","124,611","2003","$3,950","$3,950","1+Year","Unfurnished","8"
"","38","25521833","12","LD","13700   MARINA POINTE DR #527","MARINA DEL REY","1","1.00 (1 0 0 0)","854","124,611","2003","$3,950","$3,950","1+Year","Unfurnished","16"
"","8","25551959","12","LD","4148   S Chase Ave ","Los Angeles","1","1.00 (1 0 0 0)","787","6,644","2024","$3,968","$3,000","6 Months,Negotiable","Furnished","36"
"","29","SR24210336MR","12","LD","110   Driftwood  #1","MARINA DEL REY","1","1.00 (1 0 0 0)","600","2,836","1953","$3,975","$3,975","","Unfurnished","12"
"","1","24-394665","12","LD","13700   Marina Pointe Dr #1026","Marina Del Rey","1","1.00 (1 0 0 0)","811","124,662","2003","$3,995","$3,995","1+Year","Unfurnished","21"
"","1","25535511","12","LD","5005   Pacific Ave #3","MARINA DEL REY","2","2.00 (1 0 1 0)","1,200","2,624","1965","$3,999","$3,999","1+Year","Unfurnished","7"
"","47","25523463","12","LD","3906   Pacific Ave #2","Marina Del Rey","1","1.00 (1 0 0 0)","1,000","4,692","1966","$4,000","$4,000","1+Year,1-Year,12 Months,Negotiable","Furnished","20"
"","21","25505075","12","LD","100   Driftwood St #6","Marina Del Rey","2","2.00 (2 0 0 0)","899","8,683","1969","$4,000","$4,100","1+Year","Unfurnished","5"
"","40","24-392647","12","LD","4115   Glencoe Ave #311","Marina Del Rey","2","2.00 (2 0 0 0)","1,280","39,570","2006","$4,000","$4,000","1+Year,1-Year","Unfurnished","2"
"","53","24-409781","12","LD","4314   Marina City Dr #826","Marina Del Rey","1","1.00 (1 0 0 0)","","1,050","","$4,000","$4,000","1+Year","Unfurnished","80"
"","25","24-439393","12","LD","4137   Sunnyside Ave ","Los Angeles","2","1.00 (1 0 0 0)","1,110","3,732","1950","$4,000","$4,300","Negotiable","Unfurnished","11"
"","17","24-429093","12","LD","4211   Redwood Ave #303","Los Angeles","2","2.00 (2 0 0 0)","1,120","38,497","2010","$4,000","$4,000","1+Year","Unfurnished","48"
"","16","24-433931","12","LD","4215   Glencoe Ave #210","Marina Del Rey","2","2.00 (2 0 0 0)","1,260","79,638","2008","$4,000","$4,000","1+Year","Unfurnished","14"
"","39","25-480403","12","LD","4267   Marina City DR #708","MARINA DEL REY","1","1.00 (1 0 0 0)","1,050","1,050","1972","$4,000","$4,000","1+Year","Unfurnished","3"
"","61","24-474689","12","LD","4335   Marina City Drive Dr #738","Marina Del Rey","1","1.00 (1 0 0 0)","","1,050","","$4,000","$4,000","1+Year","Unfurnished","11"
"","8","25509953","12","LD","13900   Panay Way #SR219","Marina Del Rey","1","1.00 (1 0 0 0)","1,000","0","","$4,030","$4,030","1+Year","Unfurnished","0"
"","38","24-408245","12","LD","4365   MCLAUGHLIN AVE #14","LOS ANGELES","2","3.00 (3 0 0 0)","1,403","54,049","1980","$4,050","$4,100","1-Year","Unfurnished","73"
"","1","24-391175","12","LD","13700   Marina Pointe Dr #1627","Marina Del Rey","1","1.00 (1 0 0 0)","854","124,611","2003","$4,100","$4,100","1+Year","Unfurnished","0"
"","38","24-467997","12","LD","4365   MCLAUGHLIN AVE #14","LOS ANGELES","2","3.00 (3 0 0 0)","1,403","54,049","1980","$4,100","$4,100","1-Year,6 Months","Unfurnished","43"
"","30","25505183","12","LD","4141   Glencoe Ave #305","Marina Del Rey","1","1.00 (1 0 0 0)","1,070","0","2008","$4,100","$4,100","1+Year","Unfurnished","16"
"","28","25496527","12","LD","4141   Glencoe Ave #209","Marina Del Rey","1","1.00 (1 0 0 0)","1,070","39,391","2008","$4,100","$4,100","24 Months,1+Year","Unfurnished","13"
"","21","25524243","12","LD","4050   Glencoe AVE #215","MARINA DEL REY","2","2.00 (2 0 0 0)","1,220","59,344","2007","$4,100","$4,100","1+Year","Unfurnished","26"
"","8","25543887","12","LD","13900   Panay Way #SR-103","Marina Del Rey","1","1.00 (1 0 0 0)","1,000","0","","$4,120","$4,120","1+Year","Unfurnished","0"
"","25","24-461407","12","LD","4140   Glencoe Ave #304","Marina Del Rey","2","2.00 (2 0 0 0)","1,078","39,485","2016","$4,150","$4,000","1+Year","Unfurnished","20"
"","56","25509437","12","LD","13700   Marina Pointe Dr #626","Marina Del Rey","1","1.00 (1 0 0 0)","811","124,670","2003","$4,175","$4,075","1+Year","Unfurnished","11"
"","1","25552847","12","LD","13700   Marina Pointe Dr #1627","Marina Del Rey","1","1.00 (1 0 0 0)","854","124,611","2003","$4,195","$4,195","1+Year","Unfurnished","10"
"","1","25564131","12","LD","13700   Marina Pointe Dr #327","Marina Del Rey","1","1.00 (1 0 0 0)","854","124,670","2003","$4,195","$4,000","1+Year","Furnished","19"
"","38","25495049","12","LD","4080   GLENCOE AVE #203","MARINA DEL REY","2","2.00 (2 0 0 0)","1,260","11,526","2011","$4,200","$4,200","1+Year","Unfurnished","78"
"","52","25519817","12","LD","13700   Marina Pointe Dr #1026","Marina Del Rey","1","1.00 (1 0 0 0)","811","124,662","2003","$4,200","$4,200","1+Year","Unfurnished","33"
"","29","24-465543","12","LD","23   Buccaneer St ","Marina Del Rey","1","1.00 (1 0 0 0)","868","3,081","1978","$4,200","$4,200","12 Months","Unfurnished","60"
"","38","24-439617","12","LD","4211   Redwood Ave #305","Los Angeles","2","2.00 (2 0 0 0)","1,140","38,507","2010","$4,200","$4,000","1+Year","Unfurnished","20"
"","42","24-428317","12","LD","4267   Marina City DR #908","MARINA DEL REY","1","1.00 (1 0 0 0)","935","935","1972","$4,200","$4,200","1+Year","Both","10"
"","32","24-391829","12","LD","13700   MARINA POINTE DR #309","MARINA DEL REY","1","2.00 (1 0 1 0)","996","0","2003","$4,200","$4,200","1+Year","Unfurnished","60"
"","38","24-410073","12","LD","13700   Marina Pointe Dr #317","Marina Del Rey","1","1.00 (1 0 0 0)","992","124,611","2003","$4,200","$4,200","1+Year","Unfurnished","10"
"","21","24-415613","12","LD","4215   Glencoe Ave #310","Marina Del Rey","2","2.00 (2 0 0 0)","1,260","79,638","2008","$4,200","$4,200","1+Year","Unfurnished","15"
"","24","23-341701","12","LD","122   Buccaneer St #1","Marina Del Rey","2","2.00 (2 0 0 0)","1,150","2,698","1972","$4,200","$4,200","1+Year","Unfurnished","103"
"","26","25525713","12","LD","4064   Redwood Ave ","Los Angeles","2","2.00 (2 0 0 0)","1,000","7,447","","$4,295","$4,295","1-Year","Unfurnished","44"
"","1","25540643","12","LD","13700   MARINA POINTE DR #1109","MARINA DEL REY","1","2.00 (1 0 1 0)","996","124,670","2003","$4,295","$4,400","1+Year","Unfurnished","29"
"","1","25523239","12","LD","4140   Glencoe Ave #202","Marina Del Rey","2","2.00 (2 0 0 0)","1,000","39,485","2016","$4,300","$4,180","1+Year","Unfurnished","105"
"","13","24-365971","12","LD","4250   Via Dolce  #219","Marina Del Rey","2","2.00 (2 0 0 0)","1,532","191,326","1974","$4,300","$4,200","1-Year","Unfurnished","46"
"","58","24-428203","12","LD","13700   MARINA POINTE DR #719","MARINA DEL REY","1","2.00 (1 0 1 0)","959","124,670","2003","$4,300","$4,200","1+Year","Unfurnished","19"
"","27","24-449847","12","LD","4044   Redwood Ave #206","Los Angeles","1","2.00 (2 0 0 0)","1,200","13,379","2015","$4,300","$4,300","1+Year","Unfurnished","3"
"","8","25531575","12","LD","13900   Panay Way #R-312","Marina Del Rey","1","1.00 (1 0 0 0)","1,000","0","","$4,345","$4,345","1+Year","Unfurnished","0"
"","39","24-461627","12","LD","13700   MARINA POINTE DR #721","MARINA DEL REY","1","1.00 (1 0 0 0)","859","124,611","2003","$4,350","$4,300","1+Year","Unfurnished","67"
"","7","25-487337","12","LD","4316   Marina City Dr  #301G","Marina Del Rey","1","1.00 (1 0 0 0)","709","0","","$4,395","$4,395","1+Year,Month-to-Month,Season,Other,Negotiable","Both","0"
"","46","25546035","12","LD","13700   Marina Pointe Dr #1527","Marina Del Rey","1","1.00 (1 0 0 0)","854","124,670","2003","$4,400","$4,000","1+Year","Unfurnished","40"
"","22","24-452223","12","LD","4737   La Villa Marina  #B","Marina Del Rey","2","3.00 (1 1 1 0)","1,582","85,260","1966","$4,400","$4,400","1-Year","Unfurnished","40"
"","1","24-432539","12","LD","4050   Glencoe Ave #210","Marina Del Rey","3","2.00 (2 0 0 0)","1,380","59,223","2007","$4,400","$4,250","1+Year","Unfurnished","141"
"","23","25510623","12","LD","4055  S REDWOOD AVE #309","MARINA DEL REY","2","2.00 (1 1 0 0)","1,282","70,343","2006","$4,416","$4,416","1+Year","Unfurnished","0"
"","1","24-421657","12","LD","306   Bora Bora Way #106","Marina Del Rey","2","2.00 (2 0 0 0)","1,420","100,552","1978","$4,450","$4,450","1+Year,1-Year","Unfurnished","139"
"","54","24-404137","12","LD","13700   Marina Pointe Dr #627","Marina Del Rey","1","1.00 (1 0 0 0)","854","124,705","2003","$4,495","$4,495","1+Year","Unfurnished","65"
"","23","24-395021","12","LD","13337   BEACH AVE #411","Marina Del Rey","3","2.00 (2 0 0 0)","1,474","11,252","2013","$4,495","$4,495","1+Year","Unfurnished","16"
"","56","24-401073","12","LD","13700   Marina Pointe Dr #1519","MARINA DEL REY","1","2.00 (1 0 1 0)","959","124,611","2003","$4,495","$4,800","1+Year","Unfurnished","131"
"","62","24-382899","12","LD","13700   MARINA POINTE DR #1109","MARINA DEL REY","1","2.00 (1 0 1 0)","996","124,670","2003","$4,495","$4,695","1+Year","Unfurnished","16"
"","22","24-460823","12","LD","35   Catamaran St #2","Marina Del Rey","2","2.00 (2 0 0 0)","1,114","3,064","1968","$4,495","$4,495","1+Year","Unfurnished","8"
"","58","25536789","12","LD","13700   Marina Pointe Dr #1609","Marina Del Rey","1","2.00 (1 0 1 0)","996","124,611","2003","$4,495","$4,300","1+Year","Unfurnished","33"
"","54","25521131","12","LD","13700   Marina Pointe Dr #627","Marina Del Rey","1","1.00 (1 0 0 0)","854","124,705","2003","$4,495","$4,295","1+Year","Unfurnished","70"
"","16","OC24246956MR","12","LD","13337   Beach AVE #310","MARINA DEL REY","3","2.00 (2 0 0 0)","1,556","0","2013","$4,495","$4,495","1-Year","Unfurnished","129"
"","41","IV25130479MR","12","LD","4215   Glencoe AVE #129","MARINA DEL REY","1","2.00 (2 0 0 0)","1,220","79,638","2008","$4,500","$3,500","1-Year,Negotiable","Furnished","8"
"","32","25520231","12","LD","13700   MARINA POINTE DR #1206","MARINA DEL REY","1","1.00 (1 0 0 0)","891","0","2003","$4,500","$4,350","1+Year","Unfurnished","72"
"","66","25516311","12","LD","4337   Marina City  #1147","Marina Del Rey","1","1.00 (0 1 0 0)","","1,050","","$4,500","$4,500","1+Year","Furnished","5"
"","22","25510931","12","LD","4080   Glencoe Ave #310","Marina Del Rey","2","2.00 (2 0 0 0)","1,260","11,334","2011","$4,500","$4,500","1+Year","Unfurnished","11"
"","17","25495691","12","LD","4764   La Villa Marina  #B","Marina Del Rey","2","3.00 (1 1 1 0)","1,823","66,563","1967","$4,500","$4,500","1+Year,1-Year","Furnished","66"
"","19","24-468711","12","LD","13350   Maxella Ave #3","Marina Del Rey","2","2.00 (2 0 0 0)","1,057","552,201","1974","$4,500","$4,500","1+Year","Unfurnished","89"
"","19","24-450003","12","LD","13322   MAXELLA AVE #7","MARINA DEL REY","2","2.00 (1 1 0 0)","1,057","552,170","1974","$4,500","$4,500","1-Year","Unfurnished","7"
