Open Houses,Photo,MLS,AR,Type,S,Address,City,BR,Baths(FTHQ),SqFt,LP $/SqFt,LP,SP,HOD,Lot Sz,YB,DOM,latitude,longitude,unit_count
,24.0,224000532VC,11,SFR,S,2420   Frey AVE ,VENICE,2.0,2.00 (2 0 0 0),860.0,"$1,773.26","$1,525,000","$1,498,000",,"3,599",1955.0,63,33.98606,-118.4601681,
,32.0,23-228467,11,SFR,S,513   Grand Blvd ,Venice,4.0,4.00 (3 0 1 0),2522.0,"$1,110.23","$2,800,000","$2,800,000",,"2,701",2001.0,314,33.9883899,-118.4667843,
,64.0,23-253795,11,SFR,S,938   Amoroso Pl ,Venice,3.0,3.00 (2 0 1 0),2482.0,"$1,692.18","$4,200,000","$4,234,776",,"3,593",1947.0,23,33.9947521,-118.456903,
,7.0,23-261793,11,SFR,S,421   Carroll Canal  ,Venice,4.0,5.00 (5 0 0 0),3473.0,$660.81,"$2,295,000","$1,950,000",,"2,400",,272,33.9852556,-118.4665829,
,22.0,23-289647,11,SFR,S,641   Flower Ave ,Venice,3.0,3.00 (3 0 0 0),1504.0,"$1,326.46","$1,995,000","$2,000,000",,"5,798",1948.0,35,33.9989271,-118.4703653,
,18.0,23-292087,11,SFR,S,1246   Preston Way ,Venice,5.0,7.00 (5 0 2 0),7680.0,$416.02,"$3,195,000","$2,980,000",,"10,890",1952.0,41,34.0022629,-118.4555363,
,2.0,23-308227,11,SFR,S,2036   Glyndon Ave ,Venice,3.0,2.00 (2 0 0 0),1265.0,"$1,343.08","$1,699,000","$1,740,000",,"5,440",1957.0,13,34.0005341,-118.4526754,
,12.0,23-312003,11,SFR,S,710   Hampton Dr ,Venice,2.0,1.00 (1 0 0 0),855.0,"$1,695.91","$1,450,000","$1,350,000",,"3,080",1953.0,20,33.9941942,-118.474558,
,40.0,23-313907,11,SFR,S,2909   Ocean Ave ,Venice,2.0,2.00 (1 1 0 0),1609.0,"$1,239.90","$1,995,000","$1,900,000",,"5,041",1942.0,74,33.9833891,-118.4620748,
,33.0,23-314321,11,SFR,S,213   Howland Canal  ,Venice,3.0,4.00 (3 0 1 0),3764.0,"$1,301.81","$4,900,000","$4,900,000",,"2,850",2002.0,41,33.9830492,-118.4665265,
,1.0,23-314487,11,SFR,S,1215   7th Ave ,Venice,3.0,3.00 (3 0 0 0),2219.0,"$1,216.31","$2,699,000","$2,575,000",,"2,610",2009.0,147,33.9945516,-118.4641286,
,64.0,23-317763,11,SFR,S,752   Palms Blvd ,Venice,3.0,5.00 (3 0 2 0),3419.0,"$1,284.00","$4,390,000","$4,000,000",,"5,299",2015.0,27,33.9929601,-118.4617608,
,31.0,23-318839,11,SFR,S,1016   Nowita Pl ,Venice,3.0,2.00 (1 0 1 0),1283.0,"$1,285.27","$1,649,000","$1,575,000",,"4,778",1923.0,53,33.9970563,-118.4578493,
,26.0,23-320033,11,SFR,S,730   Superba Ave ,Venice,3.0,2.00 (2 0 0 0),2150.0,"$1,394.88","$2,999,000","$2,950,000",,"3,599",1940.0,60,33.992151,-118.4604458,
,1.0,23-322361,11,SFR,S,2337   MCKINLEY AVE ,VENICE,3.0,5.00 (3 1 1 0),3543.0,"$1,792.27","$6,350,000","$6,220,000",,"7,467",2002.0,78,33.9867647,-118.4628637,
,59.0,23-323865,11,SFR,S,732   Vernon Ave ,Venice,4.0,5.00 (4 0 1 0),3591.0,"$1,106.93","$3,975,000","$3,820,000",,"4,802",2014.0,71,33.9983533,-118.466927,
,19.0,23-324973,11,SFR,S,2207   Glencoe Ave ,Venice,4.0,3.00 (3 0 0 0),1832.0,"$1,525.66","$2,795,000","$2,675,000",,"5,590",1921.0,27,34.0062857,-118.4543453,
,1.0,23-326653,11,SFR,S,615   Boccaccio Ave ,Venice,4.0,3.00 (3 0 0 0),2934.0,"$1,244.04","$3,650,000","$3,490,000",,"4,001",2018.0,36,33.9890858,-118.4579022,
,1.0,23-328511,11,SFR,S,678   Marr St ,Venice,2.0,1.00 (1 0 0 0),0.0,$0,"$1,625,000","$1,585,000",,"4,413",1953.0,200,33.9876171,-118.4554321,
,33.0,23-331781,11,SFR,S,981   Lake St ,Venice,4.0,4.00 (2 2 0 0),2573.0,$969.69,"$2,495,000","$2,536,000",,"5,665",1955.0,92,34.0008345,-118.4614682,
,17.0,23-332437,11,SFR,S,614   Brooks Ave ,Venice,1.0,1.00 (1 0 0 0),720.0,"$2,291.67","$1,650,000","$1,575,000",,"5,203",1947.0,62,33.9955614,-118.4682954,
,37.0,23-333021,11,SFR,S,861   Venezia Ave ,Venice,3.0,2.00 (2 0 0 0),1716.0,"$1,104.31","$1,895,000","$1,830,000",,"5,501",1922.0,56,33.9931896,-118.4572836,
,1.0,23-333497,11,SFR,S,641   Crestmoore Pl ,Venice,2.0,3.00 (2 0 1 0),1912.0,"$1,304.92","$2,495,000","$2,519,000",,"4,201",1948.0,13,33.9887229,-118.4565536,
,35.0,23-333611,11,SFR,S,667   Washington Blvd ,Marina Del Rey,3.0,3.00 (3 0 0 0),1900.0,$894.74,"$1,700,000","$1,650,000",,"2,499",1979.0,58,33.9776848,-118.448647,
,1.0,23-334191,11,SFR,S,2446   Penmar Ave ,Venice,4.0,3.00 (3 0 0 0),,$0,"$1,999,888","$1,630,000",,"6,004",1952.0,48,33.9998041,-118.454909,
,1.0,23-336427,11,SFR,S,1517   Linden Ave ,Venice,4.0,3.00 (3 0 0 0),2574.0,"$1,668.61","$4,295,000","$4,155,000",,"5,403",,111,33.9949012,-118.4590435,
,1.0,23-337469,11,SFR,S,2446   LOUELLA AVE ,VENICE,5.0,5.00 (4 0 1 0),2825.0,$883.19,"$2,495,000","$2,495,000",,"5,849",1948.0,9,33.998927,-118.4502807,
,22.0,23-337707,11,SFR,S,112   Brooks Ave ,Venice,3.0,2.00 (2 0 0 0),1239.0,"$1,368.04","$1,695,000","$1,720,000",,"3,000",1907.0,7,33.9917789,-118.4748659,
,62.0,23-339523,11,SFR,S,960   Indiana Ave ,Venice,6.0,7.00 (6 0 1 0),5009.0,"$1,087.84","$5,449,000","$4,950,000",,"7,213",2023.0,40,34.0007815,-118.4624415,
,1.0,23-339627,11,SFR,S,851   Palms Blvd ,Venice,4.0,3.00 (3 0 0 0),1652.0,"$1,449.76","$2,395,000","$2,350,000",,"5,427",1950.0,77,33.9947887,-118.4607179,
,24.0,23-340481,11,SFR,S,341   5th Ave ,Venice,6.0,3.00 (3 0 0 0),4000.0,$998.75,"$3,995,000","$3,850,000",,"5,269",1921.0,54,33.997073,-118.4732563,
,30.0,23-341412,11,SFR,S,13419   Zanja St ,Venice,3.0,1.00 (1 0 0 0),1140.0,"$1,135.96","$1,295,000","$1,250,000",,"3,756",1953.0,11,33.995044,-118.4668875,
,65.0,23-342475,11,SFR,S,2915  S Grand Canal  ,Venice,3.0,4.00 (3 0 1 0),3310.0,"$1,435.05","$4,750,000","$4,600,000",,"3,084",1999.0,11,33.9841779,-118.466189,
,32.0,24-342841,11,SFR,S,857   Rose Ave ,Venice,3.0,1.00 (1 0 0 0),1029.0,"$1,841.59","$1,895,000","$1,850,000",,"5,006",1946.0,84,34.0019063,-118.4669676,
,50.0,24-343857,11,SFR,S,305   Venice Way ,Venice,4.0,4.00 (3 0 1 0),3555.0,$954.99,"$3,395,000","$3,225,000",,"2,041",2018.0,369,33.9874414,-118.4695407,
,32.0,24-344069,11,SFR,S,825   Indiana Ave ,Venice,3.0,3.00 (3 0 0 0),1475.0,"$1,423.73","$2,100,000","$2,100,000",,"4,800",1925.0,11,33.9986433,-118.4648834,
,1.0,24-344989,11,SFR,S,816   Angelus Pl ,Venice,3.0,1.00 (1 0 0 0),1192.0,"$1,447.15","$1,725,000","$1,665,000",,"4,211",1914.0,69,33.995044,-118.4668875,
,1.0,24-345031,11,SFR,S,2620   Naples Ave ,Venice,2.0,2.00 (1 0 1 0),1322.0,"$1,879.73","$2,485,000","$2,305,000",,"6,221",1924.0,32,33.9929202,-118.452616,
,59.0,24-345061,11,SFR,S,521   Rose Ave ,Venice,7.0,7.00 (5 0 2 0),3987.0,$902.68,"$3,599,000","$3,300,000",,"3,140",2017.0,56,33.9985317,-118.4733675,
,31.0,24-346473,11,SFR,S,335   5th Ave ,Venice,3.0,2.00 (2 0 0 0),1700.0,"$1,170.59","$1,990,000","$1,950,000",,"5,268",1913.0,85,33.997235,-118.4734185,
,1.0,24-346657,11,SFR,S,213   Rennie Ave ,Venice,4.0,3.00 (2 1 0 0),2373.0,"$1,472.82","$3,495,000","$3,470,000",,"4,135",1930.0,27,33.9995222,-118.4748677,
,18.0,24-346937,11,SFR,S,2405   Clement Ave ,Venice,2.0,1.00 (1 0 0 0),864.0,"$2,300.93","$1,988,000","$1,903,800",,"3,600",1956.0,32,33.9861153,-118.4611823,
,68.0,24-348039,11,SFR,S,977  S Lake St ,Los Angeles,6.0,6.00 (6 0 0 0),3381.0,$944.99,"$3,195,000","$3,133,300",,"5,664",1955.0,7,34.052737,-118.2807311,
,33.0,24-348203,11,SFR,S,1105   Indiana Ave ,Venice,3.0,2.00 (1 1 0 0),1400.0,"$1,285","$1,799,000","$1,599,000",,"5,001",1954.0,34,34.0043504,-118.4604934,
,24.0,24-349761,11,SFR,S,1147   Lake St ,Venice,4.0,3.00 (3 0 0 0),2637.0,$795.98,"$2,099,000","$2,090,000",,"6,384",1954.0,55,34.00405,-118.4592285,
,23.0,24-350399,11,SFR,S,817   Crestmoore Pl ,Venice,2.0,2.00 (2 0 0 0),1128.0,"$2,123.23","$2,395,000","$2,302,000",,"3,675",1923.0,27,33.9908211,-118.4550951,
,32.0,24-350847,11,SFR,S,733   Superba Ave ,Venice,2.0,2.00 (1 0 1 0),720.0,"$2,493.06","$1,795,000","$1,795,000",,"3,399",1924.0,21,33.9922582,-118.4605993,
,37.0,24-352527,11,SFR,S,1314   Preston Way ,Venice,3.0,2.00 (2 0 0 0),1611.0,"$1,797.02","$2,895,000","$2,874,000",,"7,960",1952.0,12,34.0030564,-118.454034,
,52.0,24-352695,11,SFR,S,449   28th Ave ,Venice,3.0,3.00 (2 0 1 0),3397.0,"$1,168.68","$3,970,000","$3,600,000",,"4,303",2007.0,12,33.9834209,-118.463896,
,46.0,24-356088,11,SFR,S,1342   Appleton Way ,Venice,3.0,6.00 (4 0 2 0),4703.0,"$1,312.99","$6,175,000","$6,175,000",,"10,891",2011.0,82,34.0043713,-118.4540194,
,41.0,24-358947,11,SFR,S,1071   Marco Pl ,Venice,4.0,5.00 (4 0 1 0),3054.0,"$1,112.64","$3,398,000","$3,398,000",,"4,002",2024.0,25,33.9961763,-118.4568147,
,30.0,24-359155,11,SFR,S,1126   Rose Ave ,Venice,4.0,5.00 (4 0 1 0),3186.0,$988.70,"$3,150,000","$3,150,000",,"6,006",2006.0,87,34.005061,-118.4605979,
,18.0,24-359893,11,SFR,S,1062   Marco Pl ,Venice,3.0,1.00 (1 0 0 0),1294.0,"$1,541.73","$1,995,000","$1,985,000",,"4,268",1925.0,19,33.9960877,-118.4566476,
,28.0,24-360323,11,SFR,S,1518   Glenavon Ave ,Venice,4.0,5.00 (4 0 1 0),3334.0,"$1,168.27","$3,895,000","$3,850,000",,"5,971",2017.0,29,34.0061458,-118.4551711,
,2.0,24-360735,11,SFR,S,2458   Glyndon Ave ,Venice,4.0,3.00 (3 0 0 0),2801.0,$998.93,"$2,798,000","$2,770,000",,"5,843",2003.0,6,34.0050998,-118.456603,
,35.0,24-363085,11,SFR,S,30   Wavecrest Ave ,Venice,4.0,3.00 (3 0 0 0),2111.0,"$1,492.18","$3,150,000","$2,650,000",,"2,699",1904.0,188,33.9899289,-118.4751493,
,1.0,24-363521,11,SFR,S,2416   Wilson Ave ,Venice,2.0,1.00 (1 0 0 0),700.0,"$1,928.57","$1,350,000","$1,400,000",,"3,599",1950.0,14,33.9862442,-118.4577529,
,43.0,24-364023,11,SFR,S,17   26th Ave ,Venice,4.0,5.00 (4 0 1 0),3397.0,"$1,146.60","$3,895,000","$3,656,250",,"2,639",1979.0,51,33.9820338,-118.4686162,
,15.0,24-365765,11,SFR,S,1057   Indiana Ave ,Venice,3.0,2.00 (2 0 0 0),1850.0,"$1,078.38","$1,995,000","$1,981,688",,"4,991",1957.0,116,34.0039948,-118.461145,
,2.0,24-366195,11,SFR,S,898   COMMONWEALTH AVE ,VENICE,3.0,5.00 (3 0 2 0),3898.0,"$1,513.60","$5,900,000","$5,000,000",,"10,226",2018.0,180,34.003904,-118.466416,
,1.0,24-366677,11,SFR,S,807   6th Ave ,Venice,2.0,1.00 (1 0 0 0),827.0,"$1,916.57","$1,585,000","$1,585,000",,"5,942",1949.0,10,33.9959284,-118.4693404,
,61.0,24-367417,11,SFR,S,248   Bernard Ave ,Venice,3.0,4.00 (4 0 0 0),3742.0,$948.42,"$3,549,000","$3,549,000",,"4,233",2015.0,59,34.0007355,-118.471205,
,40.0,24-367431,11,SFR,S,245   Windward Ave ,Venice,4.0,3.00 (2 0 1 0),1332.0,"$1,126.13","$1,499,999","$1,603,000",,"2,850",1921.0,21,33.9888182,-118.4700852,
,1.0,24-367443,11,SFR,S,822   California Ave ,Venice,4.0,6.00 (3 2 1 0),4283.0,$816.02,"$3,495,000","$3,495,000",,"4,726",2017.0,8,33.9954146,-118.4626088,
,1.0,24-367865,11,SFR,S,614   Victoria Ave ,Venice,4.0,3.00 (2 1 0 0),1778.0,"$1,065.80","$1,895,000","$1,995,000",,"4,001",1977.0,20,33.9894023,-118.4584634,
,1.0,24-368465,11,SFR,S,587   Grand Blvd ,Venice,4.0,2.00 (2 0 0 0),2251.0,"$1,443.80","$3,250,000","$2,970,000",,"5,266",1910.0,118,33.9885015,-118.465047,
,32.0,24-369267,11,SFR,S,806   Valita St ,Venice,4.0,5.00 (4 0 1 0),2880.0,"$1,039.93","$2,995,000","$2,870,000",,"5,096",2023.0,25,34.001605,-118.461692,
,19.0,24-369563,11,SFR,S,839   Milwood Ave ,Venice,2.0,1.00 (1 0 0 0),918.0,"$1,955.34","$1,795,000","$1,735,000",,"4,378",1915.0,4,33.9951533,-118.4617415,
,2.0,24-370261,11,SFR,S,2478   Louella Ave ,Venice,0.0,0.00 (0 0 0 0),,$0,"$1,598,000","$1,600,000",,"5,198",1922.0,19,33.998927,-118.4502807,
,1.0,24-370315,11,SFR,S,760   Sunset Ave ,Venice,3.0,4.00 (3 0 1 0),2145.0,"$1,235.43","$2,650,000","$2,500,000",,"2,472",2018.0,35,33.999329,-118.4669823,
,38.0,24-370385,11,SFR,S,911   Milwood Ave ,Venice,4.0,4.00 (4 0 0 0),3374.0,"$1,243.33","$4,195,000","$4,061,200",,"4,375",1922.0,18,33.9961463,-118.4610515,
,1.0,24-370879,11,SFR,S,966   Sunset Ave ,Venice,2.0,2.00 (2 0 0 0),2679.0,$800.67,"$2,145,000","$1,973,520",,"6,530",1960.0,17,34.001837,-118.4640077,
,35.0,24-371465,11,SFR,S,2429   Eastern Canal  ,Venice,2.0,2.00 (1 1 0 0),1100.0,"$2,131.82","$2,345,000","$2,325,000",,"2,700",1977.0,22,33.9851716,-118.4639949,
,43.0,24-374035,11,SFR,S,1017   Amoroso Pl ,Venice,4.0,3.00 (3 0 0 0),2089.0,$859.26,"$1,795,000","$1,795,000",,"4,362",1952.0,15,33.9960082,-118.4558843,
,18.0,24-374267,11,SFR,S,923   Milwood Ave ,Venice,2.0,1.00 (1 0 0 0),880.0,"$1,863.64","$1,640,000","$1,550,000",,"4,250",1920.0,89,33.9962679,-118.4609669,
,19.0,24-374707,11,SFR,S,1141   Palms Blvd ,Venice,3.0,2.00 (2 0 0 0),1375.0,"$1,447.27","$1,990,000","$1,894,000",,"5,753",1924.0,76,34.0003164,-118.4571293,
,19.0,24-374786,11,SFR,S,2229   Walnut Ave ,Venice,4.0,5.00 (4 0 1 0),3317.0,"$1,023.52","$3,395,000","$3,142,513",,"5,863",1965.0,86,33.9975794,-118.4519614,
,25.0,24-375573,11,SFR,S,1337   PALMS BLVD ,VENICE,3.0,3.00 (1 1 1 0),3276.0,"$1,022.59","$3,350,000","$3,400,000",,"10,895",2001.0,24,33.999325,-118.4577264,
,20.0,24-376711,11,SFR,S,1214   Victoria Ave ,Venice,2.0,1.00 (1 0 0 0),896.0,"$1,562.50","$1,400,000","$1,400,000",,"4,598",1925.0,0,33.997782,-118.452478,
,1.0,24-378047,11,SFR,S,708   Sunset Ave ,Venice,3.0,2.00 (2 0 0 0),1495.0,"$1,249.50","$1,868,000","$1,810,389",,"5,124",1947.0,162,33.9988454,-118.4678938,
,27.0,24-379385,11,SFR,S,2429   Mckinley Ave ,Venice,2.0,1.00 (1 0 0 0),1080.0,"$1,435.19","$1,550,000","$1,500,000",,"3,901",1950.0,91,33.9858341,-118.4627779,
,1.0,24-379603,11,SFR,S,2233   Glyndon Ave ,Venice,4.0,4.00 (4 0 0 0),3338.0,"$1,123.43","$3,750,000","$3,750,000",,"5,850",2009.0,1,33.9980299,-118.4509959,
,1.0,24-380911,11,SFR,S,237   6th Ave ,Venice,3.0,2.00 (2 0 0 0),1458.0,"$1,361.45","$1,985,000","$1,925,000",,"4,139",1947.0,20,34.0000021,-118.4730358,
,34.0,24-381307,11,SFR,S,618   Palms Blvd ,Venice,2.0,1.00 (1 0 0 0),780.0,"$2,044.87","$1,595,000","$1,700,000",,"2,714",1947.0,8,33.9910315,-118.4631009,
,35.0,24-382821,11,SFR,S,2209   Superior Ave ,Venice,5.0,6.00 (5 0 1 0),3772.0,"$1,325.42","$4,999,500","$4,550,000",,"7,024",1934.0,81,33.996409,-118.4536871,
,21.0,24-383695,11,SFR,S,662   Vernon Ave ,Venice,2.0,1.00 (1 0 0 0),790.0,"$2,018.99","$1,595,000","$1,575,000",,"4,802",1919.0,29,33.9976463,-118.4682584,
,70.0,24-383719,11,SFR,S,2203   Marian Pl ,Venice,6.0,4.00 (4 0 0 0),4048.0,$913.78,"$3,699,000","$3,300,000",,"11,496",1905.0,145,33.9936408,-118.4556744,
,1.0,24-386403,11,SFR,S,2511   Pacific Ave ,Venice,1.0,1.00 (1 0 0 0),480.0,"$2,593.75","$1,245,000","$1,275,000",,"2,640",1921.0,30,33.9824872,-118.4681142,
,34.0,24-386631,11,SFR,S,1183   Nelrose Ave ,Venice,4.0,2.00 (2 0 0 0),2720.0,$733.46,"$1,995,000","$2,013,123",,"4,442",1947.0,67,33.9841779,-118.466189,
,39.0,24-386791,11,SFR,S,1385   Palms Blvd ,Venice,4.0,6.00 (6 0 0 0),4012.0,"$1,196.16","$4,799,000","$4,670,680",,"8,174",2016.0,37,33.999325,-118.4577264,
,36.0,24-387143,11,SFR,S,2103   Walnut Ave ,Venice,4.0,3.00 (3 0 0 0),2709.0,"$1,068.66","$2,895,000","$2,850,000",,"5,543",2024.0,69,33.9990216,-118.4530632,
,1.0,24-387159,11,SFR,S,2025   Walnut Ave ,Venice,3.0,2.00 (2 0 0 0),1692.0,"$1,063.83","$1,800,000","$1,800,000",,"8,046",1953.0,0,34.0000893,-118.4538798,
,30.0,24-387319,11,SFR,S,39   23rd Ave ,Venice,2.0,1.00 (1 0 0 0),1021.0,"$1,762.00","$1,799,000","$1,810,000",,"2,642",1956.0,20,33.9836807,-118.469813,
,30.0,24-387425,11,SFR,S,1026   Amoroso Pl ,Venice,3.0,3.00 (2 1 0 0),1739.0,"$1,118.46","$1,945,000","$1,681,500",,"5,865",1925.0,152,33.9960651,-118.4556167,
,2.0,24-388729,11,SFR,S,1096   Superba Ave ,Venice,3.0,3.00 (2 0 1 0),1756.0,"$1,363.90","$2,395,000","$2,430,000",,"4,805",1937.0,7,33.9980474,-118.4561951,
,30.0,24-389307,11,SFR,S,2342   Beach Ave ,Venice,2.0,1.00 (1 0 0 0),600.0,"$1,825","$1,095,000","$1,225,000",,"1,871",1923.0,84,33.9867219,-118.4635264,
